Quantity	Time Window	Window Start (Years)	Category	Second Category	Value
Co-clustering Frequency	12000-12500 Years	12000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.714
Co-clustering Frequency	12000-12500 Years	12000	Panxi and Liangshan	Western Highland	0.756
Co-clustering Frequency	12000-12500 Years	12000	Qinghai-Tibet Plateau Core	Western Highland	0.626
Co-clustering Frequency	12500-13000 Years	12500	Central Segment	North China	0.552
Co-clustering Frequency	12500-13000 Years	12500	Central Segment	Northern Segment	0.652
Co-clustering Frequency	12500-13000 Years	12500	Central Segment	Panxi and Liangshan	0.726
Co-clustering Frequency	12500-13000 Years	12500	Central Segment	Qinghai-Tibet Plateau Core	0.642
Co-clustering Frequency	12500-13000 Years	12500	Central Segment	Western Highland	0.618
Co-clustering Frequency	12500-13000 Years	12500	North China	Northern Segment	0.544
Co-clustering Frequency	12500-13000 Years	12500	North China	Panxi and Liangshan	0.478
Co-clustering Frequency	12500-13000 Years	12500	North China	Qinghai-Tibet Plateau Core	0.51
Co-clustering Frequency	12500-13000 Years	12500	North China	Western Highland	0.506
Co-clustering Frequency	12500-13000 Years	12500	Northern Segment	Panxi and Liangshan	0.57
Co-clustering Frequency	12500-13000 Years	12500	Northern Segment	Qinghai-Tibet Plateau Core	0.546
Co-clustering Frequency	12500-13000 Years	12500	Northern Segment	Western Highland	0.598
Co-clustering Frequency	12500-13000 Years	12500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.584
Co-clustering Frequency	12500-13000 Years	12500	Panxi and Liangshan	Western Highland	0.564
Co-clustering Frequency	12500-13000 Years	12500	Qinghai-Tibet Plateau Core	Western Highland	0.556
Co-clustering Frequency	13000-13500 Years	13000	Central Segment	North China	0.584
Co-clustering Frequency	13000-13500 Years	13000	Central Segment	Northern Segment	0.662
Co-clustering Frequency	13000-13500 Years	13000	Central Segment	Panxi and Liangshan	0.5
Co-clustering Frequency	13000-13500 Years	13000	Central Segment	Qinghai-Tibet Plateau Core	0.678
Co-clustering Frequency	13000-13500 Years	13000	Central Segment	Western Highland	0.64
Co-clustering Frequency	13000-13500 Years	13000	North China	Northern Segment	0.594
Co-clustering Frequency	13000-13500 Years	13000	North China	Panxi and Liangshan	0.428
Co-clustering Frequency	13000-13500 Years	13000	North China	Qinghai-Tibet Plateau Core	0.59
Co-clustering Frequency	13000-13500 Years	13000	North China	Western Highland	0.568
Co-clustering Frequency	13000-13500 Years	13000	Northern Segment	Panxi and Liangshan	0.494
Co-clustering Frequency	13000-13500 Years	13000	Northern Segment	Qinghai-Tibet Plateau Core	0.692
Co-clustering Frequency	13000-13500 Years	13000	Northern Segment	Western Highland	0.674
Co-clustering Frequency	13000-13500 Years	13000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.486
Co-clustering Frequency	13000-13500 Years	13000	Panxi and Liangshan	Western Highland	0.512
Co-clustering Frequency	13000-13500 Years	13000	Qinghai-Tibet Plateau Core	Western Highland	0.682
Co-clustering Frequency	13500-14000 Years	13500	Central Segment	North China	0.502
Co-clustering Frequency	13500-14000 Years	13500	Central Segment	Northern Segment	0.604
Co-clustering Frequency	13500-14000 Years	13500	Central Segment	Panxi and Liangshan	0.66
Co-clustering Frequency	13500-14000 Years	13500	Central Segment	Qinghai-Tibet Plateau Core	0.608
Co-clustering Frequency	13500-14000 Years	13500	Central Segment	Western Highland	0.628
Co-clustering Frequency	13500-14000 Years	13500	North China	Northern Segment	0.506
Co-clustering Frequency	13500-14000 Years	13500	North China	Panxi and Liangshan	0.502
Co-clustering Frequency	13500-14000 Years	13500	North China	Qinghai-Tibet Plateau Core	0.494
Co-clustering Frequency	13500-14000 Years	13500	North China	Western Highland	0.538
Co-clustering Frequency	13500-14000 Years	13500	Northern Segment	Panxi and Liangshan	0.62
Co-clustering Frequency	13500-14000 Years	13500	Northern Segment	Qinghai-Tibet Plateau Core	0.592
Co-clustering Frequency	13500-14000 Years	13500	Northern Segment	Western Highland	0.636
Co-clustering Frequency	13500-14000 Years	13500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.596
Co-clustering Frequency	13500-14000 Years	13500	Panxi and Liangshan	Western Highland	0.668
Co-clustering Frequency	13500-14000 Years	13500	Qinghai-Tibet Plateau Core	Western Highland	0.608
Co-clustering Frequency	14000-14500 Years	14000	Central Segment	North China	0.178
Co-clustering Frequency	14000-14500 Years	14000	Central Segment	Northern Segment	0.264
Co-clustering Frequency	14000-14500 Years	14000	Central Segment	Panxi and Liangshan	0.456
Co-clustering Frequency	14000-14500 Years	14000	Central Segment	Qinghai-Tibet Plateau Core	0.326
Co-clustering Frequency	14000-14500 Years	14000	Central Segment	Western Highland	0.318
Co-clustering Frequency	14000-14500 Years	14000	North China	Northern Segment	0.27
Co-clustering Frequency	14000-14500 Years	14000	North China	Panxi and Liangshan	0.208
Co-clustering Frequency	14000-14500 Years	14000	North China	Qinghai-Tibet Plateau Core	0.276
Co-clustering Frequency	14000-14500 Years	14000	North China	Western Highland	0.222
Co-clustering Frequency	14000-14500 Years	14000	Northern Segment	Panxi and Liangshan	0.328
Co-clustering Frequency	14000-14500 Years	14000	Northern Segment	Qinghai-Tibet Plateau Core	0.338
Co-clustering Frequency	14000-14500 Years	14000	Northern Segment	Western Highland	0.344
Co-clustering Frequency	14000-14500 Years	14000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.362
Co-clustering Frequency	14000-14500 Years	14000	Panxi and Liangshan	Western Highland	0.372
Co-clustering Frequency	14000-14500 Years	14000	Qinghai-Tibet Plateau Core	Western Highland	0.364
Co-clustering Frequency	14500-15000 Years	14500	Central Segment	North China	0.388
Co-clustering Frequency	14500-15000 Years	14500	Central Segment	Northern Segment	0.638
Co-clustering Frequency	14500-15000 Years	14500	Central Segment	Panxi and Liangshan	0.614
Co-clustering Frequency	14500-15000 Years	14500	Central Segment	Qinghai-Tibet Plateau Core	0.688
Co-clustering Frequency	14500-15000 Years	14500	Central Segment	Western Highland	0.702
Co-clustering Frequency	14500-15000 Years	14500	North China	Northern Segment	0.55
Co-clustering Frequency	14500-15000 Years	14500	North China	Panxi and Liangshan	0.31
Co-clustering Frequency	14500-15000 Years	14500	North China	Qinghai-Tibet Plateau Core	0.492
Co-clustering Frequency	14500-15000 Years	14500	North China	Western Highland	0.43
Co-clustering Frequency	14500-15000 Years	14500	Northern Segment	Panxi and Liangshan	0.54
Co-clustering Frequency	14500-15000 Years	14500	Northern Segment	Qinghai-Tibet Plateau Core	0.706
Co-clustering Frequency	14500-15000 Years	14500	Northern Segment	Western Highland	0.688
Co-clustering Frequency	14500-15000 Years	14500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.602
Co-clustering Frequency	14500-15000 Years	14500	Panxi and Liangshan	Western Highland	0.604
Co-clustering Frequency	14500-15000 Years	14500	Qinghai-Tibet Plateau Core	Western Highland	0.694
Co-clustering Frequency	15000-15500 Years	15000	Central Segment	North China	0.44
Co-clustering Frequency	15000-15500 Years	15000	Central Segment	Northern Segment	0.646
Co-clustering Frequency	15000-15500 Years	15000	Central Segment	Panxi and Liangshan	0.7
Co-clustering Frequency	15000-15500 Years	15000	Central Segment	Qinghai-Tibet Plateau Core	0.666
Co-clustering Frequency	15000-15500 Years	15000	Central Segment	Western Highland	0.714
Co-clustering Frequency	15000-15500 Years	15000	North China	Northern Segment	0.526
Co-clustering Frequency	15000-15500 Years	15000	North China	Panxi and Liangshan	0.364
Co-clustering Frequency	15000-15500 Years	15000	North China	Qinghai-Tibet Plateau Core	0.494
Co-clustering Frequency	15000-15500 Years	15000	North China	Western Highland	0.454
Co-clustering Frequency	15000-15500 Years	15000	Northern Segment	Panxi and Liangshan	0.538
Co-clustering Frequency	15000-15500 Years	15000	Northern Segment	Qinghai-Tibet Plateau Core	0.636
Co-clustering Frequency	15000-15500 Years	15000	Northern Segment	Western Highland	0.632
Co-clustering Frequency	15000-15500 Years	15000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.578
Co-clustering Frequency	15000-15500 Years	15000	Panxi and Liangshan	Western Highland	0.626
Co-clustering Frequency	15000-15500 Years	15000	Qinghai-Tibet Plateau Core	Western Highland	0.656
Co-clustering Frequency	15500-16000 Years	15500	Central Segment	North China	0.18
Co-clustering Frequency	15500-16000 Years	15500	Central Segment	Northern Segment	0.304
Co-clustering Frequency	15500-16000 Years	15500	Central Segment	Panxi and Liangshan	0.346
Co-clustering Frequency	15500-16000 Years	15500	Central Segment	Qinghai-Tibet Plateau Core	0.286
Co-clustering Frequency	15500-16000 Years	15500	Central Segment	Western Highland	0.268
Co-clustering Frequency	15500-16000 Years	15500	North China	Northern Segment	0.3
Co-clustering Frequency	15500-16000 Years	15500	North China	Panxi and Liangshan	0.232
Co-clustering Frequency	15500-16000 Years	15500	North China	Qinghai-Tibet Plateau Core	0.258
Co-clustering Frequency	15500-16000 Years	15500	North China	Western Highland	0.244
Co-clustering Frequency	15500-16000 Years	15500	Northern Segment	Panxi and Liangshan	0.422
Co-clustering Frequency	15500-16000 Years	15500	Northern Segment	Qinghai-Tibet Plateau Core	0.408
Co-clustering Frequency	15500-16000 Years	15500	Northern Segment	Western Highland	0.376
Co-clustering Frequency	15500-16000 Years	15500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.364
Co-clustering Frequency	15500-16000 Years	15500	Panxi and Liangshan	Western Highland	0.36
Co-clustering Frequency	15500-16000 Years	15500	Qinghai-Tibet Plateau Core	Western Highland	0.358
Co-clustering Frequency	16000-16500 Years	16000	Central Segment	North China	0.394
Co-clustering Frequency	16000-16500 Years	16000	Central Segment	Northern Segment	0.626
Co-clustering Frequency	16000-16500 Years	16000	Central Segment	Panxi and Liangshan	0.6
Co-clustering Frequency	16000-16500 Years	16000	Central Segment	Qinghai-Tibet Plateau Core	0.67
Co-clustering Frequency	16000-16500 Years	16000	Central Segment	Western Highland	0.668
Co-clustering Frequency	16000-16500 Years	16000	North China	Northern Segment	0.424
Co-clustering Frequency	16000-16500 Years	16000	North China	Panxi and Liangshan	0.402
Co-clustering Frequency	16000-16500 Years	16000	North China	Qinghai-Tibet Plateau Core	0.5
Co-clustering Frequency	16000-16500 Years	16000	North China	Western Highland	0.494
Co-clustering Frequency	16000-16500 Years	16000	Northern Segment	Panxi and Liangshan	0.594
Co-clustering Frequency	16000-16500 Years	16000	Northern Segment	Qinghai-Tibet Plateau Core	0.692
Co-clustering Frequency	16000-16500 Years	16000	Northern Segment	Western Highland	0.662
Co-clustering Frequency	16000-16500 Years	16000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.674
Co-clustering Frequency	16000-16500 Years	16000	Panxi and Liangshan	Western Highland	0.612
Co-clustering Frequency	16000-16500 Years	16000	Qinghai-Tibet Plateau Core	Western Highland	0.758
Co-clustering Frequency	16500-17000 Years	16500	Central Segment	North China	0.13
Co-clustering Frequency	16500-17000 Years	16500	Central Segment	Northern Segment	0.164
Co-clustering Frequency	16500-17000 Years	16500	Central Segment	Panxi and Liangshan	0.124
Co-clustering Frequency	16500-17000 Years	16500	Central Segment	Qinghai-Tibet Plateau Core	0.152
Co-clustering Frequency	16500-17000 Years	16500	Central Segment	Western Highland	0.162
Co-clustering Frequency	16500-17000 Years	16500	North China	Northern Segment	0.17
Co-clustering Frequency	16500-17000 Years	16500	North China	Panxi and Liangshan	0.12
Co-clustering Frequency	16500-17000 Years	16500	North China	Qinghai-Tibet Plateau Core	0.098
Co-clustering Frequency	16500-17000 Years	16500	North China	Western Highland	0.116
Co-clustering Frequency	16500-17000 Years	16500	Northern Segment	Panxi and Liangshan	0.188
Co-clustering Frequency	16500-17000 Years	16500	Northern Segment	Qinghai-Tibet Plateau Core	0.234
Co-clustering Frequency	16500-17000 Years	16500	Northern Segment	Western Highland	0.208
Co-clustering Frequency	16500-17000 Years	16500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.178
Co-clustering Frequency	16500-17000 Years	16500	Panxi and Liangshan	Western Highland	0.18
Co-clustering Frequency	16500-17000 Years	16500	Qinghai-Tibet Plateau Core	Western Highland	0.196
Co-clustering Frequency	17000-17500 Years	17000	Central Segment	North China	0.374
Co-clustering Frequency	17000-17500 Years	17000	Central Segment	Northern Segment	0.554
Co-clustering Frequency	17000-17500 Years	17000	Central Segment	Panxi and Liangshan	0.692
Co-clustering Frequency	17000-17500 Years	17000	Central Segment	Qinghai-Tibet Plateau Core	0.628
Co-clustering Frequency	17000-17500 Years	17000	Central Segment	Western Highland	0.64
Co-clustering Frequency	17000-17500 Years	17000	North China	Northern Segment	0.4
Co-clustering Frequency	17000-17500 Years	17000	North China	Panxi and Liangshan	0.442
Co-clustering Frequency	17000-17500 Years	17000	North China	Qinghai-Tibet Plateau Core	0.386
Co-clustering Frequency	17000-17500 Years	17000	North China	Western Highland	0.422
Co-clustering Frequency	17000-17500 Years	17000	Northern Segment	Panxi and Liangshan	0.662
Co-clustering Frequency	17000-17500 Years	17000	Northern Segment	Qinghai-Tibet Plateau Core	0.638
Co-clustering Frequency	17000-17500 Years	17000	Northern Segment	Western Highland	0.638
Co-clustering Frequency	17000-17500 Years	17000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.8
Co-clustering Frequency	17000-17500 Years	17000	Panxi and Liangshan	Western Highland	0.788
Co-clustering Frequency	17000-17500 Years	17000	Qinghai-Tibet Plateau Core	Western Highland	0.736
Co-clustering Frequency	17500-18000 Years	17500	Central Segment	North China	0.526
Co-clustering Frequency	17500-18000 Years	17500	Central Segment	Northern Segment	0.688
Co-clustering Frequency	17500-18000 Years	17500	Central Segment	Panxi and Liangshan	0.652
Co-clustering Frequency	17500-18000 Years	17500	Central Segment	Qinghai-Tibet Plateau Core	0.692
Co-clustering Frequency	17500-18000 Years	17500	Central Segment	Western Highland	0.618
Co-clustering Frequency	17500-18000 Years	17500	North China	Northern Segment	0.566
Co-clustering Frequency	17500-18000 Years	17500	North China	Panxi and Liangshan	0.466
Co-clustering Frequency	17500-18000 Years	17500	North China	Qinghai-Tibet Plateau Core	0.51
Co-clustering Frequency	17500-18000 Years	17500	North China	Western Highland	0.468
Co-clustering Frequency	17500-18000 Years	17500	Northern Segment	Panxi and Liangshan	0.588
Co-clustering Frequency	17500-18000 Years	17500	Northern Segment	Qinghai-Tibet Plateau Core	0.636
Co-clustering Frequency	17500-18000 Years	17500	Northern Segment	Western Highland	0.602
Co-clustering Frequency	17500-18000 Years	17500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.576
Co-clustering Frequency	17500-18000 Years	17500	Panxi and Liangshan	Western Highland	0.494
Co-clustering Frequency	17500-18000 Years	17500	Qinghai-Tibet Plateau Core	Western Highland	0.598
Co-clustering Frequency	18000-18500 Years	18000	Central Segment	North China	0.196
Co-clustering Frequency	18000-18500 Years	18000	Central Segment	Northern Segment	0.39
Co-clustering Frequency	18000-18500 Years	18000	Central Segment	Panxi and Liangshan	0.272
Co-clustering Frequency	18000-18500 Years	18000	Central Segment	Qinghai-Tibet Plateau Core	0.382
Co-clustering Frequency	18000-18500 Years	18000	Central Segment	Western Highland	0.374
Co-clustering Frequency	18000-18500 Years	18000	North China	Northern Segment	0.226
Co-clustering Frequency	18000-18500 Years	18000	North China	Panxi and Liangshan	0.222
Co-clustering Frequency	18000-18500 Years	18000	North China	Qinghai-Tibet Plateau Core	0.222
Co-clustering Frequency	18000-18500 Years	18000	North China	Western Highland	0.204
Co-clustering Frequency	18000-18500 Years	18000	Northern Segment	Panxi and Liangshan	0.31
Co-clustering Frequency	18000-18500 Years	18000	Northern Segment	Qinghai-Tibet Plateau Core	0.352
Co-clustering Frequency	18000-18500 Years	18000	Northern Segment	Western Highland	0.398
Co-clustering Frequency	18000-18500 Years	18000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.342
Co-clustering Frequency	18000-18500 Years	18000	Panxi and Liangshan	Western Highland	0.324
Co-clustering Frequency	18000-18500 Years	18000	Qinghai-Tibet Plateau Core	Western Highland	0.43
Co-clustering Frequency	18500-19000 Years	18500	Central Segment	North China	0.54
Co-clustering Frequency	18500-19000 Years	18500	Central Segment	Northern Segment	0.6
Co-clustering Frequency	18500-19000 Years	18500	Central Segment	Qinghai-Tibet Plateau Core	0.556
Co-clustering Frequency	18500-19000 Years	18500	Central Segment	Western Highland	0.622
Co-clustering Frequency	18500-19000 Years	18500	North China	Northern Segment	0.448
Co-clustering Frequency	18500-19000 Years	18500	North China	Qinghai-Tibet Plateau Core	0.448
Co-clustering Frequency	18500-19000 Years	18500	North China	Western Highland	0.47
Co-clustering Frequency	18500-19000 Years	18500	Northern Segment	Qinghai-Tibet Plateau Core	0.524
Co-clustering Frequency	18500-19000 Years	18500	Northern Segment	Western Highland	0.55
Co-clustering Frequency	18500-19000 Years	18500	Qinghai-Tibet Plateau Core	Western Highland	0.514
Co-clustering Frequency	19000-19500 Years	19000	Central Segment	North China	0.438
Co-clustering Frequency	19000-19500 Years	19000	Central Segment	Northern Segment	0.592
Co-clustering Frequency	19000-19500 Years	19000	Central Segment	Qinghai-Tibet Plateau Core	0.594
Co-clustering Frequency	19000-19500 Years	19000	Central Segment	Western Highland	0.608
Co-clustering Frequency	19000-19500 Years	19000	North China	Northern Segment	0.434
Co-clustering Frequency	19000-19500 Years	19000	North China	Qinghai-Tibet Plateau Core	0.44
Co-clustering Frequency	19000-19500 Years	19000	North China	Western Highland	0.458
Co-clustering Frequency	19000-19500 Years	19000	Northern Segment	Qinghai-Tibet Plateau Core	0.518
Co-clustering Frequency	19000-19500 Years	19000	Northern Segment	Western Highland	0.572
Co-clustering Frequency	19000-19500 Years	19000	Qinghai-Tibet Plateau Core	Western Highland	0.59
Co-clustering Frequency	19500-20000 Years	19500	Central Segment	Northern Segment	0.436
Co-clustering Frequency	19500-20000 Years	19500	Central Segment	Qinghai-Tibet Plateau Core	0.442
Co-clustering Frequency	19500-20000 Years	19500	Central Segment	Western Highland	0.386
Co-clustering Frequency	19500-20000 Years	19500	Northern Segment	Qinghai-Tibet Plateau Core	0.526
Co-clustering Frequency	19500-20000 Years	19500	Northern Segment	Western Highland	0.454
Co-clustering Frequency	19500-20000 Years	19500	Qinghai-Tibet Plateau Core	Western Highland	0.452
Similarity	0-500 Years	0	Central Segment	North China	0.7397
Similarity	0-500 Years	0	Central Segment	Northern Segment	0.7752
Similarity	0-500 Years	0	Central Segment	Panxi and Liangshan	0.8463
Similarity	0-500 Years	0	Central Segment	Qinghai-Tibet Plateau Core	0.836
Similarity	0-500 Years	0	Central Segment	Sichuan Basin	0.0087
Similarity	0-500 Years	0	Central Segment	Southern Segment	0.3495
Similarity	0-500 Years	0	Central Segment	Western Highland	0.827
Similarity	0-500 Years	0	North China	Northern Segment	0.7415
Similarity	0-500 Years	0	North China	Panxi and Liangshan	0.5901
Similarity	0-500 Years	0	North China	Qinghai-Tibet Plateau Core	0.6195
Similarity	0-500 Years	0	North China	Sichuan Basin	0.0353
Similarity	0-500 Years	0	North China	Southern Segment	0.3123
Similarity	0-500 Years	0	North China	Western Highland	0.5969
Similarity	0-500 Years	0	Northern Segment	Panxi and Liangshan	0.7051
Similarity	0-500 Years	0	Northern Segment	Qinghai-Tibet Plateau Core	0.7923
Similarity	0-500 Years	0	Northern Segment	Sichuan Basin	0.2231
Similarity	0-500 Years	0	Northern Segment	Southern Segment	0.5444
Similarity	0-500 Years	0	Northern Segment	Western Highland	0.7612
Similarity	0-500 Years	0	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.8948
Similarity	0-500 Years	0	Panxi and Liangshan	Sichuan Basin	0
Similarity	0-500 Years	0	Panxi and Liangshan	Southern Segment	0.3625
Similarity	0-500 Years	0	Panxi and Liangshan	Western Highland	0.9179
Similarity	0-500 Years	0	Qinghai-Tibet Plateau Core	Sichuan Basin	0.1039
Similarity	0-500 Years	0	Qinghai-Tibet Plateau Core	Southern Segment	0.4643
Similarity	0-500 Years	0	Qinghai-Tibet Plateau Core	Western Highland	0.9688
Similarity	0-500 Years	0	Sichuan Basin	Southern Segment	0.629
Similarity	0-500 Years	0	Sichuan Basin	Western Highland	0.0812
Similarity	0-500 Years	0	Southern Segment	Western Highland	0.4442
Similarity	500-1000 Years	500	Central Segment	North China	0.7296
Similarity	500-1000 Years	500	Central Segment	Northern Segment	0.3649
Similarity	500-1000 Years	500	Central Segment	Panxi and Liangshan	0.7165
Similarity	500-1000 Years	500	Central Segment	Qinghai-Tibet Plateau Core	0.5846
Similarity	500-1000 Years	500	Central Segment	Sichuan Basin	0
Similarity	500-1000 Years	500	Central Segment	Southern Segment	0.2558
Similarity	500-1000 Years	500	Central Segment	Western Highland	0.6212
Similarity	500-1000 Years	500	North China	Northern Segment	0.5308
Similarity	500-1000 Years	500	North China	Panxi and Liangshan	0.7197
Similarity	500-1000 Years	500	North China	Qinghai-Tibet Plateau Core	0.6858
Similarity	500-1000 Years	500	North China	Sichuan Basin	0.1533
Similarity	500-1000 Years	500	North China	Southern Segment	0.4001
Similarity	500-1000 Years	500	North China	Western Highland	0.6995
Similarity	500-1000 Years	500	Northern Segment	Panxi and Liangshan	0.5121
Similarity	500-1000 Years	500	Northern Segment	Qinghai-Tibet Plateau Core	0.7078
Similarity	500-1000 Years	500	Northern Segment	Sichuan Basin	0.4899
Similarity	500-1000 Years	500	Northern Segment	Southern Segment	0.7788
Similarity	500-1000 Years	500	Northern Segment	Western Highland	0.6554
Similarity	500-1000 Years	500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.7979
Similarity	500-1000 Years	500	Panxi and Liangshan	Sichuan Basin	0.0713
Similarity	500-1000 Years	500	Panxi and Liangshan	Southern Segment	0.369
Similarity	500-1000 Years	500	Panxi and Liangshan	Western Highland	0.8489
Similarity	500-1000 Years	500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.2495
Similarity	500-1000 Years	500	Qinghai-Tibet Plateau Core	Southern Segment	0.5562
Similarity	500-1000 Years	500	Qinghai-Tibet Plateau Core	Western Highland	0.9468
Similarity	500-1000 Years	500	Sichuan Basin	Southern Segment	0.6846
Similarity	500-1000 Years	500	Sichuan Basin	Western Highland	0.2057
Similarity	500-1000 Years	500	Southern Segment	Western Highland	0.5103
Similarity	1000-1500 Years	1000	Central Segment	North China	0.5099
Similarity	1000-1500 Years	1000	Central Segment	Northern Segment	0.1385
Similarity	1000-1500 Years	1000	Central Segment	Panxi and Liangshan	0.559
Similarity	1000-1500 Years	1000	Central Segment	Qinghai-Tibet Plateau Core	0.3638
Similarity	1000-1500 Years	1000	Central Segment	Sichuan Basin	0.2247
Similarity	1000-1500 Years	1000	Central Segment	Southern Segment	0.4657
Similarity	1000-1500 Years	1000	Central Segment	Western Highland	0.4117
Similarity	1000-1500 Years	1000	North China	Northern Segment	0.5081
Similarity	1000-1500 Years	1000	North China	Panxi and Liangshan	0.7019
Similarity	1000-1500 Years	1000	North China	Qinghai-Tibet Plateau Core	0.6966
Similarity	1000-1500 Years	1000	North China	Sichuan Basin	0.1893
Similarity	1000-1500 Years	1000	North China	Southern Segment	0.5265
Similarity	1000-1500 Years	1000	North China	Western Highland	0.7055
Similarity	1000-1500 Years	1000	Northern Segment	Panxi and Liangshan	0.4265
Similarity	1000-1500 Years	1000	Northern Segment	Qinghai-Tibet Plateau Core	0.6157
Similarity	1000-1500 Years	1000	Northern Segment	Sichuan Basin	0
Similarity	1000-1500 Years	1000	Northern Segment	Southern Segment	0.3266
Similarity	1000-1500 Years	1000	Northern Segment	Western Highland	0.5531
Similarity	1000-1500 Years	1000	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.7658
Similarity	1000-1500 Years	1000	Panxi and Liangshan	Sichuan Basin	0.0594
Similarity	1000-1500 Years	1000	Panxi and Liangshan	Southern Segment	0.435
Similarity	1000-1500 Years	1000	Panxi and Liangshan	Western Highland	0.8281
Similarity	1000-1500 Years	1000	Qinghai-Tibet Plateau Core	Sichuan Basin	0.0252
Similarity	1000-1500 Years	1000	Qinghai-Tibet Plateau Core	Southern Segment	0.4057
Similarity	1000-1500 Years	1000	Qinghai-Tibet Plateau Core	Western Highland	0.9317
Similarity	1000-1500 Years	1000	Sichuan Basin	Southern Segment	0.5977
Similarity	1000-1500 Years	1000	Sichuan Basin	Western Highland	0.0292
Similarity	1000-1500 Years	1000	Southern Segment	Western Highland	0.4107
Similarity	1500-2000 Years	1500	Central Segment	North China	0.5729
Similarity	1500-2000 Years	1500	Central Segment	Northern Segment	0.5439
Similarity	1500-2000 Years	1500	Central Segment	Panxi and Liangshan	0.9212
Similarity	1500-2000 Years	1500	Central Segment	Qinghai-Tibet Plateau Core	0.5914
Similarity	1500-2000 Years	1500	Central Segment	Sichuan Basin	0.0768
Similarity	1500-2000 Years	1500	Central Segment	Southern Segment	0.6998
Similarity	1500-2000 Years	1500	Central Segment	Western Highland	0.5922
Similarity	1500-2000 Years	1500	North China	Northern Segment	0.8035
Similarity	1500-2000 Years	1500	North China	Panxi and Liangshan	0.5346
Similarity	1500-2000 Years	1500	North China	Qinghai-Tibet Plateau Core	0.6563
Similarity	1500-2000 Years	1500	North China	Sichuan Basin	0
Similarity	1500-2000 Years	1500	North China	Southern Segment	0.5114
Similarity	1500-2000 Years	1500	North China	Western Highland	0.6333
Similarity	1500-2000 Years	1500	Northern Segment	Panxi and Liangshan	0.5122
Similarity	1500-2000 Years	1500	Northern Segment	Qinghai-Tibet Plateau Core	0.7725
Similarity	1500-2000 Years	1500	Northern Segment	Sichuan Basin	0.146
Similarity	1500-2000 Years	1500	Northern Segment	Southern Segment	0.5762
Similarity	1500-2000 Years	1500	Northern Segment	Western Highland	0.739
Similarity	1500-2000 Years	1500	Panxi and Liangshan	Qinghai-Tibet Plateau Core	0.5889
Similarity	1500-2000 Years	1500	Panxi and Liangshan	Sichuan Basin	0.0677
Similarity	1500-2000 Years	1500	Panxi and Liangshan	Southern Segment	0.6594
Similarity	1500-2000 Years	1500	Panxi and Liangshan	Western Highland	0.5937
Similarity	1500-2000 Years	1500	Qinghai-Tibet Plateau Core	Sichuan Basin	0.159
Similarity	1500-2000 Years	1500	Qinghai-Tibet Plateau Core	Southern Segment	0.5714
Similarity	1500-2000 Years	1500	Qinghai-Tibet Plateau Core	Western Highland	0.9628
Similarity	1500-2000 Years	1500	Sichuan Basin	Southern Segment	0.3083
Similarity	1500-2000 Years	1500	Sichuan Basin	Western Highland	0.1467
Similarity	1500-2000 Years	1500	Southern Segment	Western Highland	0.5568
Similarity	2000-2500 Years	2000	Central Segment	North China	0.4445
Similarity	2000-2500 Years	2000	Central Segment	Northern Segment	0.3539
Similarity	2000-2500 Years	2000	Central Segment	Panxi and Liangshan	0.8633
Similarity	2000-2500 Years	2000	Central Segment	Qinghai-Tibet Plateau Core	0.438
Similarity	2000-2500 Years	2000	Central Segment	Sichuan Basin	0.4753
Similarity	2000-2500 Years	2000	Central Segment	Southern Segment	0.3341
Similarity	2000-2500 Years	2000	Central Segment	Western Highland	0.3483
Similarity	2000-2500 Years	2000	North China	Northern Segment	0.7395
Similarity	2000-2500 Years	2000	North China	Panxi and Liangshan	0.4206
Similarity	2000-2500 Years	2000	North China	Qinghai-Tibet Plateau Core	0.5461
Similarity	2000-2500 Years	2000	North China	Sichuan Basin	0.4405
Similarity	2000-2500 Years	2000	North China	Southern Segment	0.1422
Similarity	2000-2500 Years	2000	North China	Western Highland	0.5231
Similarity	2000-2500 Years	2000	Northern Segment	Panxi and Liangshan	0.3775
Similarity	2000-2500 Years	2000	Northern Segment	Qinghai-Tibet Plateau Core	0.7047
Similarity	2000-2500 Years	2000	Northern Segment	Sichuan Basin	0.4308
Similarity	2000-2500 Years	2000	Northern Segment	Southern Segment	0.0605
Similarity	2000-2500 Years	2000	Northern Segment	Western Highland	0.7066
